"STN
Code",Type Water Body,State Name,"Temperature
?C (Min)","Temperature
?C (Max)",Dissolved Oxygen (mg/L) (Min),Dissolved Oxygen (mg/L) (Max),pH (Min),pH (Max),Conductivity (?mhos/cm) (Min),Conductivity (?mhos/cm) (Max),BOD (mg/L) (Min),BOD (mg/L) (Max),Nitrate N + Nitrite N(mg/L) (Min),Nitrate N + Nitrite N(mg/L) (Max),Fecal Coliform (MPN/100ml) (Min),Fecal Coliform (MPN/100ml) (Max),Total Coliform (MPN/100ml) (Min),Total Coliform (MPN/100ml) (Max),Predicted Water Quality
4097.0,0,12,25.0,25.0,0.3,5.5,6.3,7.6,286,2280,6.0,124.0,0.60,19.00,3300,480000,24000,3500000,Poor
3611.0,0,12,25.0,25.0,0.3,7.2,6.6,7.7,629,1449,3.0,27.0,0.93,6.00,2200,1700000,24000,16000000,Poor
3616.0,0,12,25.0,25.0,4.1,7.2,6.5,8.4,424,1304,3.0,12.0,1.00,5.30,3300,23000,24000,240000,Poor
4540.0,0,12,25.0,25.0,2.3,6.8,6.5,7.5,180,2116,3.0,12.0,0.30,4.00,4900,130000,24000,1600000,Poor
3601.0,0,12,25.0,25.0,0.3,6.1,6.5,7.4,827,2860,3.0,80.0,1.70,7.03,4800,48000000,35000,350000000,Poor
4529.0,0,12,25.0,25.0,4.6,7.1,6.7,7.0,210,853,4.0,6.0,1.00,5.00,4600,46000,35000,350000,Poor
3591.0,0,12,25.0,25.0,4.3,6.8,6.5,8.5,299,787,3.0,14.0,0.88,2.30,2300,140000,24000,1600000,Poor
3680.0,0,12,21.0,33.0,4.6,10.0,7.0,8.8,332,692,1.3,6.4,0.30,4.70,920,920,1600,1600,Poor
4543.0,0,12,25.0,25.0,2.7,6.9,6.5,8.0,488,1253,3.0,20.0,0.30,6.80,2300,46000,24000,350000,Poor
4544.0,0,12,25.0,25.0,3.0,6.2,6.6,7.6,369,1345,4.0,34.0,0.50,4.00,2700,14000,24000,160000,Poor
4517.0,0,12,25.0,25.1,0.3,6.5,6.5,8.3,313,3370,5.0,54.0,0.30,8.09,2600,330000,24000,2400000,Poor
3583.0,0,12,21.0,25.0,5.0,6.8,7.1,9.0,495,770,2.7,4.4,1.00,3.10,830,1400,4600,6300,Poor
4516.0,0,12,25.0,25.0,3.0,6.1,6.8,7.8,725,1299,4.0,17.0,0.81,15.00,460,94000,3500,540000,Poor
3586.0,0,12,20.0,26.0,4.6,6.0,7.3,8.8,564,850,3.5,5.2,1.50,3.10,780,1700,5800,8400,Poor
4538.0,0,12,25.0,25.0,0.3,6.4,6.3,7.6,385,4200,3.0,145.0,0.60,11.00,3300,1200000,24000,9200000,Poor
3644.0,0,12,25.0,25.0,1.2,5.4,6.8,8.2,647,2009,4.0,78.0,1.10,6.00,3300,63000,24000,540000,Poor
4523.0,0,12,24.0,25.0,3.6,6.5,6.5,6.7,374,820,3.0,10.0,1.20,3.00,3900,7000,24000,54000,Poor
3646.0,0,12,25.0,25.0,4.1,6.2,6.9,8.0,543,1021,3.0,10.0,0.30,7.75,3300,130000,24000,920000,Poor
4509.0,0,12,25.0,25.0,1.1,7.1,6.5,7.8,304,821,3.0,34.0,0.44,3.20,3400,7000000,24000,92000000,Poor
3685.0,0,12,24.0,26.0,6.5,6.8,7.4,8.0,810,1070,3.4,3.9,0.92,1.22,26,52,109,165,Poor
4505.0,0,12,25.0,25.0,0.8,6.3,6.5,7.6,422,2120,4.0,46.0,1.22,7.60,4600,34000,35000,240000,Poor
3620.0,0,12,25.0,25.0,1.8,6.5,6.5,8.0,207,1297,5.0,38.0,0.30,7.90,2300,1100000,24000,9200000,Poor
4524.0,0,12,25.0,25.0,0.3,6.8,6.5,8.2,346,741,4.0,32.0,0.50,2.80,330,63000,9200,540000,Poor
3624.0,0,12,25.0,25.0,3.0,6.3,6.6,7.7,459,1173,3.0,22.0,1.10,2.57,3300,94000,24000,540000,Poor
3614.0,0,12,25.0,25.0,4.7,6.0,6.9,7.8,290,1233,3.0,11.0,1.10,3.00,4000,9400,35000,54000,Poor
4510.0,0,12,25.0,25.0,3.1,6.7,6.6,8.5,413,1236,4.0,23.0,0.47,4.60,3300,150000,24000,1600000,Poor
4519.0,0,12,25.0,25.0,0.3,4.2,6.6,7.4,1023,1480,9.0,93.0,0.90,6.00,3300,1700000,35000,9200000,Poor
4514.0,0,12,24.0,25.0,1.5,7.0,6.5,8.3,552,1027,4.0,35.0,1.40,10.00,3300,15000,24000,160000,Poor
4504.0,0,12,25.0,25.0,4.9,7.1,6.9,8.2,415,783,3.0,9.0,0.30,5.00,3300,120000,24000,920000,Poor
4525.0,0,12,25.0,25.0,0.3,5.9,7.1,8.7,512,3860,4.0,50.0,2.09,11.00,3300,63000,24000,540000,Poor
3587.0,0,12,20.0,34.0,4.3,6.6,6.9,8.9,583,1028,3.0,6.0,1.80,3.60,700,2200,4700,7000,Poor
4508.0,0,12,25.0,25.0,0.3,5.2,6.5,7.2,886,1374,5.0,47.0,0.30,5.90,4800,790000,35000,5400000,Poor
3618.0,0,12,25.0,25.0,1.1,7.0,6.5,7.6,562,1367,4.0,36.0,0.50,6.00,4300,130000,35000,1600000,Poor
3622.0,0,12,25.0,25.0,2.8,6.9,6.6,7.6,216,1323,3.4,21.0,0.50,3.40,2300,140000,24000,920000,Poor
4534.0,0,12,25.0,25.1,4.2,7.2,7.0,7.7,239,532,2.0,6.0,0.60,2.10,2300,110000,24000,920000,Poor
4547.0,0,12,25.0,25.0,4.2,6.8,6.5,8.5,444,1320,3.0,9.0,0.50,3.00,2300,120000,24000,1600000,Poor
3610.0,0,12,25.0,25.0,0.3,4.8,6.7,8.1,1109,1593,7.0,81.0,0.40,3.00,9400,13000,54000,160000,Poor
4533.0,0,12,25.0,25.0,2.0,6.3,6.5,7.7,369,1561,3.0,15.0,0.58,25.00,3400,630000,24000,5400000,Poor
3593.0,0,12,25.0,25.0,1.8,7.0,6.6,8.8,254,551,3.0,42.0,0.30,2.01,4000,700000,24000,3500000,Poor
1388.0,0,12,25.0,25.0,2.0,6.8,6.8,8.5,253,570,3.0,38.0,0.67,2.00,2300,490000,24000,2400000,Poor
3608.0,0,12,25.0,26.0,0.3,4.8,6.5,7.7,798,1347,6.0,60.0,1.00,19.00,11000,1500000000,160000,1600000000,Poor
4527.0,0,12,24.0,25.0,0.3,6.9,6.6,8.4,496,889,4.0,62.0,0.30,13.40,3300,150000,24000,1600000,Poor
3592.0,0,12,25.0,25.0,4.1,7.1,6.5,8.2,201,334,3.0,18.0,0.60,2.40,4600,46000,24000,920000,Poor
3585.0,0,12,21.0,33.0,1.0,3.9,7.0,8.5,742,1252,1.4,14.0,2.50,7.50,1300,4900,7900,14000,Poor
3696.0,2,12,23.0,32.0,3.1,7.2,8.0,8.3,654,1980,4.0,132.0,0.30,1.40,,,,,Poor
3629.0,2,12,25.0,25.0,4.0,6.4,6.5,8.4,421,1223,4.0,8.5,0.90,5.00,6300,11000000,54000,92000000,Poor
4541.0,2,12,25.0,25.0,4.2,6.9,6.5,7.3,89,678,3.0,16.0,0.30,2.00,3300,49000,35000,240000,Poor
3623.0,2,12,25.0,25.0,0.3,7.3,6.6,8.0,414,3020,2.0,69.0,0.72,11.10,3300,15000,24000,160000,Poor
3681.0,2,12,21.0,33.0,0.3,8.0,6.6,9.5,293,584,3.7,57.0,0.32,5.46,1480,1840,3200,3200,Poor
3638.0,2,12,25.0,25.0,4.0,7.0,6.5,8.1,173,493,3.0,8.0,0.30,1.53,4100,46000,24000,540000,Poor
3673.0,2,12,21.0,27.0,3.0,4.3,7.3,7.9,980,1930,3.8,6.4,0.70,1.30,130,930,1100,4900,Poor
3675.0,2,12,21.0,27.0,5.4,6.7,7.4,7.9,290,450,2.0,2.4,0.30,0.30,110,140,920,1200,Average
3636.0,2,12,25.0,25.0,3.0,6.9,6.5,7.6,196,1268,5.0,18.0,0.40,3.23,6300,33000,54000,240000,Poor
3664.0,2,12,25.0,25.0,5.9,5.9,7.7,7.7,500,500,2.0,2.0,0.30,0.30,330,330,2200,2200,Poor
3643.0,2,12,25.0,25.0,0.5,7.0,6.6,7.9,304,1079,3.0,24.0,0.73,2.70,3300,70000,24000,1600000,Poor
3619.0,2,12,25.0,25.0,4.1,6.5,6.4,7.5,426,1444,3.0,10.0,0.70,8.00,2700,110000,24000,920000,Poor
3693.0,2,12,26.0,32.0,0.5,7.3,7.1,7.8,260,890,3.0,12.0,0.30,6.87,,,,,Poor
3651.0,2,12,25.0,25.0,1.0,6.2,6.7,7.4,740,1870,4.0,46.0,2.00,78.00,3300,110000,35000,920000,Poor
3637.0,2,12,25.0,25.0,2.2,6.1,6.8,7.7,821,1413,4.0,27.0,0.81,6.10,3300,120000,24000,920000,Poor
3595.0,2,12,25.0,25.1,3.2,6.2,6.5,7.7,274,1223,3.0,14.0,0.94,4.30,4800,150000,35000,1600000,Poor
4532.0,2,12,25.0,25.0,0.3,5.0,6.7,7.4,1099,2309,6.0,42.0,1.00,27.00,2300,460000,24000,3500000,Poor
3606.0,2,12,25.0,26.0,2.9,6.8,6.1,7.4,194,1120,2.0,14.0,0.51,2.50,3300,40000,13000,350000,Poor
3634.0,2,12,25.0,25.0,3.0,7.3,6.5,7.6,271,2540,3.0,17.0,0.30,6.60,4700,94000,35000,920000,Poor
3641.0,2,12,25.0,25.0,0.3,6.3,6.5,7.4,237,1145,3.8,39.0,0.70,5.20,2300,120000,24000,920000,Poor
3653.0,2,12,25.0,26.0,4.8,7.2,6.5,7.3,155,406,3.0,6.0,0.30,1.00,2300,15000,24000,160000,Poor
3604.0,2,12,25.0,25.0,3.3,6.1,6.5,7.8,574,2730,4.0,10.0,1.10,4.50,3300,49000,35000,240000,Poor
4526.0,2,12,25.0,25.0,4.0,6.8,6.3,7.9,236,775,2.0,9.0,0.60,3.00,3300,14000,24000,160000,Poor
3666.0,2,12,21.0,25.0,4.6,6.0,7.6,8.3,460,1180,2.0,3.2,0.30,0.40,140,320,1100,2100,Poor
3676.0,2,12,20.0,28.0,5.6,7.3,7.4,7.9,330,470,2.0,2.2,0.30,0.30,92,220,920,1400,Poor
3671.0,2,12,22.0,27.0,4.2,5.7,7.5,7.8,390,500,2.2,2.6,0.30,0.30,210,340,1700,2200,Poor
3683.0,2,12,24.0,26.0,4.5,5.5,7.4,7.9,739,889,9.0,24.0,1.22,1.67,63,175,279,561,Poor
3598.0,2,12,25.0,25.0,0.3,6.3,6.2,7.4,321,1566,4.0,30.0,0.30,6.30,3400,46000,24000,350000,Poor
3597.0,2,12,25.0,25.0,4.8,6.6,5.4,8.1,123,702,2.0,7.0,0.30,2.40,4600,6300000,35000,54000000,Poor
3559.0,2,12,24.0,29.0,6.9,7.5,7.4,8.4,312,1485,2.5,6.0,0.30,1.30,350,1400,1600,5400,Poor
3660.0,2,12,21.0,27.0,5.3,7.1,7.3,7.8,440,530,2.0,2.6,0.30,0.30,170,700,1200,3500,Poor
3561.0,2,12,24.0,29.0,7.0,7.6,7.5,8.4,326,1458,3.0,6.0,0.30,0.30,350,1300,1600,5400,Poor
3670.0,2,12,23.0,24.0,4.6,6.0,7.3,7.8,320,440,2.0,2.2,0.30,0.32,200,330,1700,2200,Poor
3642.0,2,12,23.0,25.0,4.8,6.9,6.5,7.3,394,1543,2.0,20.0,1.00,4.00,2700,70000,24000,920000,Poor
3663.0,2,12,21.0,27.0,4.2,5.8,7.7,8.1,390,650,2.1,3.0,0.30,0.30,210,470,1400,3500,Poor
3682.0,2,12,21.0,32.0,4.0,9.0,8.4,10.3,1180,3819,1.1,16.2,0.40,6.53,920,1840,1600,3200,Poor
3607.0,2,12,25.0,25.0,1.8,6.3,6.5,8.4,393,1201,4.0,25.0,0.40,5.30,3300,2800000,24000,16000000,Poor
4530.0,2,12,25.0,25.0,0.3,4.1,6.7,7.3,1237,2135,9.0,101.0,1.80,16.00,2100,12000000,24000,92000000,Poor
3657.0,2,12,21.0,27.0,2.4,5.0,7.3,8.1,990,4300,3.4,6.8,0.50,1.90,110,700,920,4700,Poor
3588.0,2,12,19.0,26.0,6.0,7.4,7.4,8.6,496,764,2.5,6.0,1.50,3.20,700,1100,4300,5800,Poor
3684.0,2,12,23.0,26.0,6.7,7.4,7.5,8.2,447,592,3.2,4.1,0.62,0.88,32,79,212,290,Poor
3639.0,2,12,25.0,25.0,1.3,7.6,6.5,7.7,289,1389,3.0,40.0,0.59,6.30,3300,940000,24000,5400000,Poor
4511.0,2,12,25.0,25.0,3.1,7.2,6.5,8.3,407,1332,3.0,13.0,0.40,4.40,3300,6300000,35000,160000000,Poor
3661.0,2,12,22.0,27.0,3.6,6.9,7.7,8.8,500,2900,2.6,7.2,0.30,1.30,140,400,1100,2800,Poor
3695.0,2,12,26.0,28.0,5.8,7.4,7.6,8.2,220,370,2.2,6.5,0.30,0.30,,,,,Poor
3662.0,2,12,21.0,27.0,5.7,7.3,7.3,7.8,450,540,1.8,2.3,0.30,0.30,93,220,920,1400,Poor
3692.0,2,12,27.0,27.0,6.9,6.9,8.0,8.0,330,330,2.3,2.3,1.10,1.10,,,,,Poor
3590.0,2,12,25.0,25.0,2.6,6.9,6.6,8.1,397,509,3.0,28.0,0.61,3.00,3100,49000,24000,540000,Poor
3665.0,2,12,21.0,27.0,5.0,7.0,7.5,7.9,370,620,2.0,3.0,0.30,0.30,94,270,920,1700,Poor
3599.0,2,12,25.0,25.0,3.4,6.6,6.2,7.6,213,1240,2.0,13.0,0.56,3.80,2300,460000,24000,3500000,Poor
4503.0,2,12,25.0,25.0,3.4,6.3,6.5,6.8,64,398,3.0,18.0,0.30,2.10,4900,11000000,24000,92000000,Poor
3589.0,2,12,25.0,25.0,4.2,7.1,6.7,8.4,286,1402,3.0,10.0,1.03,4.30,2300,170000,24000,1600000,Poor
3659.0,2,12,21.0,27.0,1.9,3.0,7.3,8.0,740,1400,3.8,5.8,0.70,1.20,930,2600,7000,13000,Poor
3635.0,2,12,25.0,25.0,0.3,5.8,6.3,7.6,375,1898,4.0,38.0,1.60,7.80,4900,1100000,24000,9200000,Poor
4092.0,2,12,26.0,29.0,6.5,7.2,7.8,8.8,922,2385,6.0,18.0,0.30,2.27,7900,54000,35000,160000,Poor
4501.0,2,12,25.0,25.0,3.3,7.0,6.6,8.3,643,1100,4.0,10.0,0.30,14.04,3300,33000,24000,350000,Poor
4512.0,2,12,25.0,25.0,0.3,6.5,6.5,7.4,183,1733,8.0,174.0,0.80,45.00,4600,63000,35000,540000,Poor
3697.0,2,12,24.0,29.5,4.2,8.4,7.2,8.4,770,920,5.0,34.0,0.30,3.00,,,,,Poor
3560.0,2,12,26.0,29.0,6.5,7.2,7.5,9.3,962,2156,7.0,30.0,0.30,0.36,14000,54000,54000,160000,Poor
3650.0,2,12,25.0,25.0,1.1,6.4,6.6,8.0,704,1397,3.0,53.0,1.00,6.30,4600,110000,35000,920000,Poor
3648.0,2,12,25.0,25.0,4.8,7.3,6.5,7.2,151,599,3.0,4.0,0.52,2.00,630,17000,5400,160000,Poor
3626.0,2,12,25.0,25.0,1.0,7.1,6.5,8.0,308,773,3.0,35.0,0.50,3.00,4000,79000000,24000,540000000,Poor
3596.0,2,12,25.0,25.1,0.3,6.0,6.1,8.0,211,1231,3.6,195.0,0.50,2.99,3300,700000,24000,3500000,Poor
3686.0,2,12,24.0,25.0,7.3,7.6,7.5,8.2,326,438,1.0,2.5,0.32,0.92,2,14,10,32,Good
3687.0,2,12,23.0,25.0,6.5,6.9,7.3,8.1,620,850,3.2,3.8,0.72,1.92,19,52,76,148,Poor
3669.0,2,12,22.0,27.0,5.2,6.4,7.4,7.8,380,520,1.8,2.5,0.30,0.30,94,400,920,3300,Poor
3565.0,2,12,28.0,30.0,4.9,7.9,6.5,7.2,128,224,2.0,3.0,2.10,7.00,23,1600,23,1600,Poor
4502.0,2,12,25.0,25.0,2.8,6.9,7.2,8.4,896,1365,5.0,20.0,2.00,4.00,1200,94000,35000,1600000,Poor
4513.0,2,12,25.0,25.0,1.6,6.5,6.2,7.2,230,1366,2.0,47.0,0.56,3.51,3300,150000,24000,1600000,Poor
4531.0,2,12,25.0,25.0,0.3,5.8,6.7,7.9,1035,1563,5.0,20.0,1.15,24.00,7900,94000,54000,540000,Poor
4498.0,2,12,23.0,28.0,7.1,7.4,6.8,7.3,163,251,2.2,2.7,0.30,0.79,2,8,19,31,Good
3672.0,2,12,22.0,27.0,4.1,6.4,7.4,7.9,450,700,2.0,2.6,0.30,0.30,170,460,1100,3500,Poor
3594.0,2,12,25.0,25.0,4.9,6.8,6.5,7.6,267,815,3.0,8.0,0.56,3.00,490,3300000,2400,24000000,Poor
3667.0,2,12,22.0,28.0,4.5,6.2,7.6,8.1,780,1280,3.0,4.0,0.50,1.50,220,610,1600,4000,Poor
3674.0,2,12,22.0,28.0,5.4,6.5,7.5,7.9,370,470,1.8,2.4,0.30,0.30,140,340,1100,2400,Poor
3694.0,2,12,25.0,28.0,6.0,7.3,7.7,8.3,104,330,2.0,3.0,0.30,0.47,,,,,Poor
3677.0,2,12,26.0,30.0,6.0,8.2,7.5,8.4,1035,1670,3.0,6.0,0.30,1.80,630,1400,2200,5400,Poor
3600.0,2,12,25.0,25.0,0.3,5.8,6.5,7.6,762,4110,5.0,83.0,2.00,9.19,4000,9400000,35000,54000000,Poor
3689.0,2,12,23.0,25.0,5.8,6.8,7.1,7.9,732,1340,3.3,4.5,1.02,1.32,13,58,70,196,Poor
3668.0,2,12,21.0,27.0,4.3,5.9,7.3,7.8,690,1150,2.9,3.8,0.30,0.90,340,490,2200,3500,Poor
3633.0,2,12,25.0,25.0,0.3,4.8,6.5,7.6,969,2005,5.0,50.0,0.80,11.50,4600,940000,35000,5400000,Poor
3688.0,2,12,23.0,26.0,6.9,7.3,7.7,8.2,581,790,3.4,3.9,0.52,0.79,41,136,221,394,Poor
3690.0,2,12,25.0,26.0,6.9,7.3,7.7,8.3,876,1008,3.3,3.9,1.02,1.12,21,63,120,185,Poor
3640.0,2,12,25.0,25.0,0.3,7.1,6.7,9.3,192,450,4.0,48.0,0.52,2.08,2700,94000,24000,540000,Poor
3632.0,2,12,25.0,25.0,0.3,6.5,6.5,8.1,309,5860,3.0,124.0,0.80,9.00,4600,94000,24000,540000,Poor
3603.0,2,12,24.0,25.0,1.9,6.2,6.5,7.2,667,1330,2.0,81.0,0.80,12.00,2300,110000,24000,920000,Poor
3691.0,2,12,25.0,32.0,6.2,7.7,7.2,8.3,92,290,2.0,2.2,0.30,0.50,,,,,Poor
3630.0,2,12,25.0,25.0,4.0,6.9,6.5,8.5,512,1120,4.0,14.0,1.20,3.70,140,94000,24000,1600000,Poor
3605.0,2,12,25.0,25.0,3.1,5.6,6.6,7.6,887,1791,5.0,14.0,0.70,8.12,3300,170000,24000,920000,Poor
1579.0,0,13,29.0,30.0,5.4,7.8,6.9,7.5,148,1168,1.0,4.0,0.30,0.80,2,1400,2,2200,Poor
1441.0,0,13,22.0,24.0,5.1,6.1,6.3,7.4,15000,18410,1.0,3.5,0.30,2.70,100,150,350,610,Poor
1578.0,0,13,29.0,30.0,3.1,5.6,6.9,8.0,1285,7651,1.4,5.9,0.30,0.30,200,1700,400,3500,Poor
1577.0,0,13,26.0,31.0,5.7,8.0,6.5,8.7,100,33520,1.0,2.4,0.30,2.40,100,2000,630,6300,Poor
2312.0,0,13,28.0,29.0,6.1,7.9,6.6,7.4,131,1314,1.0,3.8,0.30,0.30,2,1400,2,4100,Poor
1383.0,0,13,26.0,27.0,1.6,3.2,6.4,7.8,173,240,1.0,7.2,0.30,0.30,920,1700,2100,3100,Poor
1574.0,0,13,20.0,23.0,5.1,6.9,6.2,7.6,12140,16130,1.0,2.3,0.30,1.80,94,140,380,490,Poor
2318.0,0,13,24.0,30.0,6.7,8.0,6.6,7.8,47,73,1.0,1.2,0.30,0.30,20,80,100,620,Poor
1576.0,0,13,24.0,26.0,6.5,7.8,6.7,7.6,36,44,1.0,1.0,0.30,0.30,2,2,2,100,Poor
1580.0,0,13,25.0,29.0,6.9,8.2,6.5,7.0,24,29,1.0,1.5,0.30,0.30,2,27,14,79,Poor
2329.0,0,13,24.0,29.0,6.9,8.2,6.2,8.1,23,56,1.0,1.3,0.30,0.70,47,3500,84,5400,Poor
2330.0,0,13,25.0,29.0,6.9,8.2,6.4,7.7,21,48,1.0,1.0,0.30,0.30,2,120,12,400,Poor
2328.0,0,13,22.0,31.0,6.1,7.8,6.8,7.8,77,138,1.0,3.4,0.30,3.60,2,700,100,1200,Poor
1385.0,0,13,21.0,25.0,6.5,7.5,6.4,7.8,162,185,1.0,2.0,0.30,0.70,70,110,240,410,Poor
3470.0,0,13,26.0,27.0,5.2,7.1,5.7,6.9,105,165,1.7,3.8,0.30,0.30,200,700,700,1700,Poor
1575.0,0,13,27.0,31.0,3.4,7.8,6.3,7.9,200,42380,1.0,3.6,0.30,2.70,630,32000,1500,200000,Poor
3462.0,1,13,23.0,32.0,6.5,8.2,6.7,8.0,43,190,1.0,2.1,0.30,0.72,20,810,40,1300,Poor
2325.0,1,13,26.0,27.0,2.5,6.7,7.0,7.9,248,282,3.7,7.8,0.30,0.30,1000,2200,3100,7000,Poor
4557.0,1,14,27.9,31.3,,,7.1,9.2,229,515,,,0.32,0.32,2,2,2,2,Poor
1401.0,1,14,28.0,30.0,9.0,9.0,7.1,9.5,300,900,1.0,1.0,0.32,0.32,5,5,1600,1600,Poor
4568.0,1,14,28.1,31.1,,,6.4,7.6,658,824,,,,,,,,,Poor
2132.0,0,15,19.0,24.3,6.8,7.9,7.4,8.8,326,512,1.0,2.0,0.54,4.42,2,2,43,63,Poor
3296.0,0,15,20.0,24.0,7.0,7.8,7.1,8.4,325,573,1.0,1.3,0.02,1.01,2,2,40,58,Good
4615.0,0,15,17.0,28.2,5.8,7.3,7.1,8.2,280,764,2.7,6.0,0.30,0.77,2,110,43,920,Poor
2135.0,0,15,19.2,32.9,6.7,7.9,7.0,8.1,204,288,1.0,1.6,0.35,1.18,2,2,33,47,Poor
2141.0,0,15,20.0,32.0,6.0,8.6,6.8,8.1,215,524,1.4,8.4,0.33,9.17,2,180,49,24000,Poor
2142.0,0,15,20.0,24.0,7.0,7.9,7.2,7.9,250,490,1.4,2.4,0.30,0.50,2,2,24,34,Good
3845.0,0,15,17.0,30.0,7.1,7.9,7.1,8.9,511,713,1.0,1.8,2.20,3.00,3,4,14,43,Poor
2140.0,0,15,19.0,30.0,5.2,10.4,7.1,8.3,183,422,1.0,1.4,1.88,6.66,2,180,110,35000,Average
2128.0,0,15,16.6,27.0,7.1,8.3,7.2,8.1,238,411,1.0,1.9,0.13,0.40,2,4,8,48,Poor
4622.0,0,15,22.0,30.0,4.3,7.1,7.2,8.5,243,702,1.0,2.9,0.05,0.47,2,2,4,38,Average
1374.0,0,15,19.0,33.0,4.7,8.3,7.2,8.0,226,509,1.2,8.0,3.80,15.23,2,920,150,120000,Poor
2130.0,0,15,20.0,27.0,5.2,7.8,7.6,8.1,278,800,1.7,3.2,0.60,0.98,2,8,32,110,Poor
1466.0,0,15,17.0,32.0,7.0,8.0,7.3,8.2,611,813,1.2,1.8,2.20,2.90,3,7,15,75,Poor
2134.0,0,15,19.0,23.8,6.2,7.7,6.1,8.5,260,371,1.0,1.8,0.62,4.08,2,2,36,63,Poor
2136.0,0,15,20.0,33.0,2.0,10.2,6.8,8.6,445,738,4.8,12.0,3.35,21.39,14,2100,280,220000,Poor
2133.0,0,15,20.0,23.0,6.7,7.8,7.4,8.2,344,796,1.0,1.4,0.68,1.22,2,2,34,63,Good
4614.0,0,15,17.0,27.7,6.0,7.7,7.1,7.8,368,690,2.6,5.0,0.30,0.60,2,350,46,1600,Poor
2139.0,0,15,19.0,32.0,4.1,8.0,7.4,8.1,211,285,1.0,1.7,2.22,5.03,2,3500,240,92000,Poor
1373.0,0,15,19.0,32.0,5.0,8.1,7.2,7.7,208,305,1.1,4.2,2.43,3.90,2,4700,150,43000,Poor
2138.0,0,15,20.0,32.0,5.0,8.6,7.3,8.1,205,256,1.2,4.0,2.25,5.01,2,2600,110,92000,Poor
2137.0,0,15,20.0,31.0,4.7,8.6,7.3,8.2,210,288,1.1,3.6,2.03,4.75,2,3500,140,54000,Poor
2131.0,0,15,20.0,24.0,6.6,7.9,7.6,8.5,493,743,1.0,2.2,0.65,1.12,2,2,40,70,Good
3850.0,1,15,20.0,24.0,6.9,7.8,7.4,8.4,327,424,1.0,1.3,0.54,1.92,2,2,33,403,Good
3831.0,1,15,16.0,30.3,6.0,7.6,7.3,7.9,220,612,1.8,4.4,0.30,2.30,2,120,17,1600,Average
3830.0,1,15,17.3,27.6,5.7,7.6,7.3,8.7,180,671,2.4,8.0,0.30,0.73,2,150,14,1600,Poor
3299.0,1,15,17.0,27.9,5.3,7.6,7.2,7.9,260,636,2.3,4.0,0.30,0.73,2,70,41,1600,Average
3297.0,1,15,22.0,29.0,6.8,7.9,7.2,8.5,339,440,1.6,2.9,0.32,1.00,2,6,47,110,Good
3301.0,1,15,16.2,31.0,6.2,7.8,7.2,7.9,262,687,1.1,5.2,0.21,0.30,2,110,17,920,Poor
3302.0,1,15,19.0,24.0,6.5,7.6,7.4,8.7,440,621,1.2,2.2,0.81,3.09,2,2,63,140,Poor
3298.0,1,15,11.4,25.0,6.8,7.5,7.2,7.9,210,592,1.7,2.1,0.61,1.02,2,4,48,49,Poor
3303.0,1,15,19.0,30.0,5.8,7.5,7.5,8.5,288,415,1.0,1.9,0.48,0.90,2,2,33,48,Average
3300.0,1,15,17.0,26.0,5.2,8.3,7.2,8.2,265,780,2.8,8.0,0.12,4.60,2,280,63,1600,Poor
3304.0,1,15,15.0,36.0,6.5,7.6,7.1,7.5,203,530,1.4,1.8,0.32,3.17,,,,,Poor
3849.0,1,15,20.0,23.0,0.3,7.8,7.54,8.2,5,529,1.0,1.2,0.61,1.00,2,2,33,49,Poor
2129.0,2,15,16.6,27.4,7.0,7.9,7.2,7.9,210,358,1.0,1.8,0.21,0.40,2,4,7,46,Poor
1426.0,0,16,18.0,28.0,6.6,7.6,6.4,7.5,180,205,2.7,3.5,,,25,65,70,120,Poor
1630.0,0,16,19.0,28.0,6.8,7.3,6.9,7.5,150,240,3.0,3.7,,,10,20,15,60,Poor
1629.0,0,16,19.0,28.0,6.5,7.6,6.8,7.5,130,210,2.9,3.6,,,10,75,60,105,Poor
1425.0,0,16,18.7,28.0,6.8,7.4,6.9,7.7,150,215,3.1,3.6,,,10,45,50,95,Poor
2837.0,0,16,20.0,28.0,6.9,7.6,7.0,7.4,130,286,3.2,3.6,,,5,25,30,60,Poor
2849.0,1,16,19.0,28.0,5.8,6.9,7.0,7.6,110,430,3.3,3.9,0.30,0.30,30,60,75,175,Poor
2841.0,1,16,20.0,28.0,6.2,7.5,7.0,7.5,80,450,3.2,3.9,,,35,70,70,120,Poor
2840.0,1,16,21.0,28.0,6.7,7.4,7.2,7.5,80,350,3.1,3.6,,,2,20,25,50,Poor
2842.0,1,16,21.0,28.0,6.5,7.5,7.1,7.5,90,300,3.2,3.7,,,2,40,35,70,Poor
2844.0,1,16,18.0,27.0,6.5,7.4,7.2,7.6,90,340,3.0,3.7,,,5,15,20,65,Poor
2850.0,1,16,21.0,28.0,5.4,6.8,6.9,7.7,150,350,3.3,4.4,,,40,70,105,185,Poor
2848.0,1,16,21.0,28.0,5.5,7.1,7.0,7.7,150,660,3.4,4.1,,,35,65,85,170,Poor
2851.0,1,16,21.0,28.0,5.3,7.0,6.9,7.6,280,610,3.4,4.6,,,60,95,215,310,Poor
2843.0,1,16,20.0,27.0,6.4,7.1,6.8,7.4,90,320,3.2,3.7,,,20,40,50,110,Poor
2847.0,1,16,20.0,28.0,6.0,7.8,6.9,7.5,120,230,3.0,3.9,,,10,50,35,160,Poor
